Local time,Open,High,Low,Close,Volume
05.07.2021 22:45:00.000 GMT+0100,0.75283,0.75291,0.75280,0.75289,81230
05.07.2021 23:00:00.000 GMT+0100,0.75289,0.75350,0.75289,0.75350,185560.00350000002
05.07.2021 23:15:00.000 GMT+0100,0.75353,0.75462,0.75350,0.75449,585890.01
05.07.2021 23:30:00.000 GMT+0100,0.75449,0.75472,0.75421,0.75451,433319.99859999993
05.07.2021 23:45:00.000 GMT+0100,0.75451,0.75467,0.75434,0.75448,238369.9994
06.07.2021 00:00:00.000 GMT+0100,0.75444,0.75446,0.75406,0.75422,405309.999
06.07.2021 00:15:00.000 GMT+0100,0.75418,0.75440,0.75409,0.75414,384009.9983000001
06.07.2021 00:30:00.000 GMT+0100,0.75415,0.75432,0.75413,0.75421,187310.00109999996
06.07.2021 00:45:00.000 GMT+0100,0.75419,0.75457,0.75388,0.75400,552039.999
06.07.2021 01:00:00.000 GMT+0100,0.75401,0.75437,0.75372,0.75419,762220.0062000001
06.07.2021 01:15:00.000 GMT+0100,0.75417,0.75438,0.75390,0.75390,355689.9957
06.07.2021 01:30:00.000 GMT+0100,0.75389,0.75445,0.75389,0.75442,410550.00109999994
06.07.2021 01:45:00.000 GMT+0100,0.75442,0.75481,0.75417,0.75417,987239.994
06.07.2021 02:00:00.000 GMT+0100,0.75418,0.75471,0.75412,0.75426,764219.9974
06.07.2021 02:15:00.000 GMT+0100,0.75425,0.75434,0.75407,0.75410,569519.9947999999
06.07.2021 02:30:00.000 GMT+0100,0.75410,0.75439,0.75387,0.75418,737680.0003999999
06.07.2021 02:45:00.000 GMT+0100,0.75418,0.75512,0.75416,0.75507,1444969.9956
06.07.2021 03:00:00.000 GMT+0100,0.75507,0.75575,0.75500,0.75552,1216180.0060999999
06.07.2021 03:15:00.000 GMT+0100,0.75551,0.75556,0.75521,0.75522,668519.9948
06.07.2021 03:30:00.000 GMT+0100,0.75522,0.75557,0.75520,0.75540,514509.9985
06.07.2021 03:45:00.000 GMT+0100,0.75539,0.75597,0.75536,0.75587,673360.0083
06.07.2021 04:00:00.000 GMT+0100,0.75586,0.75621,0.75565,0.75619,820449.9913999999
06.07.2021 04:15:00.000 GMT+0100,0.75617,0.75647,0.75603,0.75644,808880.0047
06.07.2021 04:30:00.000 GMT+0100,0.75644,0.75682,0.75635,0.75677,680260.0003
06.07.2021 04:45:00.000 GMT+0100,0.75677,0.75687,0.75662,0.75673,666510.0068999999
06.07.2021 05:00:00.000 GMT+0100,0.75674,0.75676,0.75633,0.75640,445620.00179999997
06.07.2021 05:15:00.000 GMT+0100,0.75641,0.75645,0.75601,0.75635,528439.9948
06.07.2021 05:30:00.000 GMT+0100,0.75639,0.75712,0.75434,0.75480,3404579.986499999
06.07.2021 05:45:00.000 GMT+0100,0.75480,0.75605,0.75478,0.75594,880950.0046000001
06.07.2021 06:00:00.000 GMT+0100,0.75596,0.75674,0.75594,0.75670,1128559.9899
06.07.2021 06:15:00.000 GMT+0100,0.75667,0.75710,0.75648,0.75658,691699.9950000001
06.07.2021 06:30:00.000 GMT+0100,0.75659,0.75706,0.75650,0.75696,679499.9885
06.07.2021 06:45:00.000 GMT+0100,0.75695,0.75766,0.75676,0.75765,1158909.9962
