Local time,Open,High,Low,Close,Volume
06.07.2021 04:00:00.000 GMT+0100,83.793,83.823,83.777,83.820,922839.9961
06.07.2021 04:15:00.000 GMT+0100,83.820,83.855,83.801,83.852,937039.9970999999
06.07.2021 04:30:00.000 GMT+0100,83.853,83.895,83.841,83.893,1016920.0077
06.07.2021 04:45:00.000 GMT+0100,83.893,83.904,83.877,83.884,1230669.9963000002
06.07.2021 05:00:00.000 GMT+0100,83.883,83.884,83.839,83.852,1145649.9995000002
06.07.2021 05:15:00.000 GMT+0100,83.853,83.857,83.809,83.846,721080.0037999998
06.07.2021 05:30:00.000 GMT+0100,83.848,83.932,83.626,83.673,3220370.0178
06.07.2021 05:45:00.000 GMT+0100,83.673,83.799,83.673,83.787,1089360.0044000002
06.07.2021 06:00:00.000 GMT+0100,83.788,83.862,83.788,83.856,1463989.9903000002
06.07.2021 06:15:00.000 GMT+0100,83.854,83.912,83.839,83.854,927959.9915
06.07.2021 06:30:00.000 GMT+0100,83.853,83.884,83.835,83.876,1082040.0010000002
06.07.2021 06:45:00.000 GMT+0100,83.876,83.967,83.856,83.966,1460889.9955
06.07.2021 07:00:00.000 GMT+0100,83.967,84.182,83.933,84.166,2774270.0119000003
06.07.2021 07:15:00.000 GMT+0100,84.164,84.193,84.064,84.117,2895000.0076000006
06.07.2021 07:30:00.000 GMT+0100,84.120,84.122,84.055,84.092,1812799.9800999998
06.07.2021 07:45:00.000 GMT+0100,84.094,84.162,84.088,84.159,1376639.9917
06.07.2021 08:00:00.000 GMT+0100,84.158,84.160,84.085,84.103,2965060.0282000005
06.07.2021 08:15:00.000 GMT+0100,84.102,84.126,84.069,84.089,1942669.9981999998
06.07.2021 08:30:00.000 GMT+0100,84.091,84.101,83.964,83.987,2279639.9917
06.07.2021 08:45:00.000 GMT+0100,83.986,84.017,83.942,83.967,2279960.0143000004
06.07.2021 09:00:00.000 GMT+0100,83.966,83.970,83.918,83.941,2502229.9882999994
06.07.2021 09:15:00.000 GMT+0100,83.940,83.940,83.874,83.907,2143149.9864
06.07.2021 09:30:00.000 GMT+0100,83.908,83.980,83.882,83.963,2388619.9876
06.07.2021 09:45:00.000 GMT+0100,83.960,83.982,83.940,83.969,1852570.0339999995
06.07.2021 10:00:00.000 GMT+0100,83.969,83.995,83.936,83.942,1916840.0077000002
06.07.2021 10:15:00.000 GMT+0100,83.943,83.944,83.877,83.913,1992090.0115999999
06.07.2021 10:30:00.000 GMT+0100,83.915,83.957,83.868,83.952,1896829.9944999998
06.07.2021 10:45:00.000 GMT+0100,83.951,83.985,83.932,83.958,1636030.0064000003
06.07.2021 11:00:00.000 GMT+0100,83.957,83.991,83.950,83.987,1571310.0128
06.07.2021 11:15:00.000 GMT+0100,83.987,84.043,83.937,83.942,1425399.9976999997
06.07.2021 11:30:00.000 GMT+0100,83.940,83.969,83.910,83.934,1440599.9983000003
06.07.2021 11:45:00.000 GMT+0100,83.934,83.934,83.838,83.847,1597370.0067000003
06.07.2021 12:00:00.000 GMT+0100,83.846,83.891,83.839,83.841,1501100.0251000002
06.07.2021 12:15:00.000 GMT+0100,83.840,83.886,83.840,83.885,1272020.0158000002
06.07.2021 12:30:00.000 GMT+0100,83.885,83.885,83.800,83.804,1301889.9993
06.07.2021 12:45:00.000 GMT+0100,83.804,83.834,83.786,83.812,1619840.0039
06.07.2021 13:00:00.000 GMT+0100,83.811,83.849,83.781,83.786,1884150.0015
06.07.2021 13:15:00.000 GMT+0100,83.785,83.833,83.748,83.826,2174369.9951
06.07.2021 13:30:00.000 GMT+0100,83.827,83.863,83.807,83.834,2195200.0047
06.07.2021 13:45:00.000 GMT+0100,83.833,83.844,83.756,83.767,2094980.0263
06.07.2021 14:00:00.000 GMT+0100,83.766,83.780,83.643,83.674,3271649.9786000005
06.07.2021 14:15:00.000 GMT+0100,83.673,83.735,83.667,83.702,2566860.0081
06.07.2021 14:30:00.000 GMT+0100,83.704,83.713,83.541,83.555,3648499.984700001
06.07.2021 14:45:00.000 GMT+0100,83.555,83.642,83.535,83.544,3069089.9809999997
06.07.2021 15:00:00.000 GMT+0100,83.542,83.552,83.281,83.327,4924680.069
06.07.2021 15:15:00.000 GMT+0100,83.327,83.327,83.069,83.103,4528090.027000001
06.07.2021 15:30:00.000 GMT+0100,83.100,83.195,82.883,83.147,4129800.0183000006
06.07.2021 15:45:00.000 GMT+0100,83.146,83.149,82.901,82.937,3697459.9913
06.07.2021 16:00:00.000 GMT+0100,82.939,82.963,82.856,82.857,3025160.0036999993
06.07.2021 16:15:00.000 GMT+0100,82.857,82.921,82.821,82.921,2730230.011
06.07.2021 16:30:00.000 GMT+0100,82.923,83.037,82.923,82.992,2477790.0008
06.07.2021 16:45:00.000 GMT+0100,82.993,83.006,82.943,82.968,2562180
06.07.2021 17:00:00.000 GMT+0100,82.966,82.969,82.855,82.861,2443230.0185999996
06.07.2021 17:15:00.000 GMT+0100,82.861,82.889,82.806,82.839,1911389.9842
06.07.2021 17:30:00.000 GMT+0100,82.840,82.843,82.751,82.786,2187429.9699
06.07.2021 17:45:00.000 GMT+0100,82.786,82.825,82.779,82.823,1111060.0014000002
06.07.2021 18:00:00.000 GMT+0100,82.824,82.883,82.804,82.881,1108619.995
06.07.2021 18:15:00.000 GMT+0100,82.880,82.926,82.868,82.920,1252380.001
06.07.2021 18:30:00.000 GMT+0100,82.920,82.920,82.870,82.896,692259.9963000001
06.07.2021 18:45:00.000 GMT+0100,82.896,82.948,82.896,82.937,747800.0029999999
06.07.2021 19:00:00.000 GMT+0100,82.936,82.942,82.894,82.895,777200.0027000001
06.07.2021 19:15:00.000 GMT+0100,82.896,82.926,82.890,82.924,701029.9969
06.07.2021 19:30:00.000 GMT+0100,82.922,82.944,82.920,82.942,872579.9990000001
06.07.2021 19:45:00.000 GMT+0100,82.941,82.951,82.922,82.924,1117740.0075
06.07.2021 20:00:00.000 GMT+0100,82.925,82.956,82.918,82.956,644469.9946
06.07.2021 20:15:00.000 GMT+0100,82.955,82.983,82.950,82.977,654430.0022
06.07.2021 20:30:00.000 GMT+0100,82.976,82.980,82.944,82.949,865140.0108
06.07.2021 20:45:00.000 GMT+0100,82.950,82.970,82.897,82.908,1083419.9943000001
06.07.2021 21:00:00.000 GMT+0100,82.908,82.932,82.902,82.903,715680.0061
06.07.2021 21:15:00.000 GMT+0100,82.904,82.924,82.895,82.919,462920.0035
06.07.2021 21:30:00.000 GMT+0100,82.919,82.920,82.905,82.915,243600.0013
06.07.2021 21:45:00.000 GMT+0100,82.915,82.918,82.880,82.889,673590.0039
06.07.2021 22:00:00.000 GMT+0100,82.853,82.894,82.840,82.887,89940.0002
06.07.2021 22:15:00.000 GMT+0100,82.875,82.894,82.838,82.861,38289.9992
06.07.2021 22:30:00.000 GMT+0100,82.882,82.902,82.856,82.902,215020.00209999998
06.07.2021 22:45:00.000 GMT+0100,82.902,82.917,82.891,82.909,1635929.9896999998
06.07.2021 23:00:00.000 GMT+0100,82.909,82.913,82.889,82.906,465489.99899999995
06.07.2021 23:15:00.000 GMT+0100,82.906,82.924,82.897,82.923,596340.0051
06.07.2021 23:30:00.000 GMT+0100,82.920,82.920,82.871,82.899,621079.9942000001
06.07.2021 23:45:00.000 GMT+0100,82.899,82.937,82.896,82.907,258750.0001
07.07.2021 00:00:00.000 GMT+0100,82.907,82.922,82.895,82.922,398180.00230000005
07.07.2021 00:15:00.000 GMT+0100,82.923,82.946,82.920,82.933,426120.0026
07.07.2021 00:30:00.000 GMT+0100,82.932,82.936,82.901,82.904,531380.0073
07.07.2021 00:45:00.000 GMT+0100,82.904,82.908,82.864,82.891,689599.9947
07.07.2021 01:00:00.000 GMT+0100,82.892,82.893,82.781,82.791,1994479.9728999997
07.07.2021 01:15:00.000 GMT+0100,82.792,82.804,82.695,82.794,1698780.0180000002
07.07.2021 01:30:00.000 GMT+0100,82.795,82.821,82.776,82.791,2058279.9833
07.07.2021 01:45:00.000 GMT+0100,82.791,82.796,82.715,82.736,2722879.989499999
07.07.2021 02:00:00.000 GMT+0100,82.736,82.758,82.684,82.720,1543329.9826999998
07.07.2021 02:15:00.000 GMT+0100,82.720,82.794,82.715,82.789,1758750.0191
07.07.2021 02:30:00.000 GMT+0100,82.790,82.791,82.712,82.732,1575429.9811
07.07.2021 02:45:00.000 GMT+0100,82.732,82.761,82.712,82.741,1305899.9978000002
07.07.2021 03:00:00.000 GMT+0100,82.740,82.760,82.688,82.694,1291239.9881999998
07.07.2021 03:15:00.000 GMT+0100,82.695,82.724,82.694,82.724,773109.9987999998
07.07.2021 03:30:00.000 GMT+0100,82.725,82.750,82.710,82.721,892399.9844
07.07.2021 03:45:00.000 GMT+0100,82.725,82.772,82.700,82.761,895340.0021
07.07.2021 04:00:00.000 GMT+0100,82.762,82.791,82.730,82.785,871200.0085
07.07.2021 04:15:00.000 GMT+0100,82.785,82.855,82.781,82.844,811389.9860999999
07.07.2021 04:30:00.000 GMT+0100,82.843,82.857,82.833,82.852,580540.0037000001
07.07.2021 04:45:00.000 GMT+0100,82.852,82.878,82.847,82.856,362780.0007
07.07.2021 05:00:00.000 GMT+0100,82.856,82.908,82.856,82.908,525460.0029
07.07.2021 05:15:00.000 GMT+0100,82.908,82.957,82.904,82.949,487099.99950000003
07.07.2021 05:30:00.000 GMT+0100,82.948,82.948,82.885,82.907,783969.9954
07.07.2021 05:45:00.000 GMT+0100,82.907,82.907,82.773,82.840,1319470.0050000001
07.07.2021 06:00:00.000 GMT+0100,82.838,82.883,82.829,82.875,953310.0127999999
07.07.2021 06:15:00.000 GMT+0100,82.879,82.933,82.874,82.923,699049.9993
07.07.2021 06:30:00.000 GMT+0100,82.922,82.973,82.907,82.972,994320.0113
07.07.2021 06:45:00.000 GMT+0100,82.973,83.019,82.954,82.999,1070130.001
07.07.2021 07:00:00.000 GMT+0100,82.997,82.997,82.927,82.974,2175379.9897999996
07.07.2021 07:15:00.000 GMT+0100,82.976,83.047,82.969,83.041,1531239.99
07.07.2021 07:30:00.000 GMT+0100,83.040,83.091,83.028,83.068,1357809.9897999999
07.07.2021 07:45:00.000 GMT+0100,83.066,83.120,83.066,83.109,1152899.9864999999
07.07.2021 08:00:00.000 GMT+0100,83.108,83.138,83.004,83.045,2315689.9946999997
07.07.2021 08:15:00.000 GMT+0100,83.045,83.108,83.043,83.082,1896310.0051
07.07.2021 08:30:00.000 GMT+0100,83.081,83.081,82.971,83.042,2240319.9919
07.07.2021 08:45:00.000 GMT+0100,83.043,83.109,83.043,83.079,1655509.9869
07.07.2021 09:00:00.000 GMT+0100,83.079,83.195,83.073,83.142,2061479.9954999997
07.07.2021 09:15:00.000 GMT+0100,83.143,83.177,83.121,83.145,1498190.0023999999
07.07.2021 09:30:00.000 GMT+0100,83.144,83.182,83.050,83.083,2309510.0252
07.07.2021 09:45:00.000 GMT+0100,83.082,83.129,83.078,83.122,1564329.9943
07.07.2021 10:00:00.000 GMT+0100,83.121,83.174,83.109,83.144,1544259.9981
07.07.2021 10:15:00.000 GMT+0100,83.143,83.169,83.141,83.151,1453189.9949
07.07.2021 10:30:00.000 GMT+0100,83.150,83.235,83.149,83.199,1393139.9880000001
07.07.2021 10:45:00.000 GMT+0100,83.198,83.264,83.194,83.246,1213680.0002000001
07.07.2021 11:00:00.000 GMT+0100,83.246,83.253,83.220,83.230,1449690.0063
07.07.2021 11:15:00.000 GMT+0100,83.229,83.248,83.193,83.244,1251740.0056000003
07.07.2021 11:30:00.000 GMT+0100,83.243,83.276,83.208,83.228,1308299.9955000002
07.07.2021 11:45:00.000 GMT+0100,83.229,83.255,83.214,83.241,1354379.9934
07.07.2021 12:00:00.000 GMT+0100,83.241,83.264,83.210,83.215,1432709.9915
07.07.2021 12:15:00.000 GMT+0100,83.213,83.217,83.117,83.121,2137469.9937
07.07.2021 12:30:00.000 GMT+0100,83.119,83.233,83.114,83.226,963689.9986
07.07.2021 12:45:00.000 GMT+0100,83.227,83.302,83.223,83.272,1295440.0100999998
07.07.2021 13:00:00.000 GMT+0100,83.272,83.345,83.268,83.289,1736140.0031000003
07.07.2021 13:15:00.000 GMT+0100,83.289,83.295,83.184,83.185,2704890.0146
07.07.2021 13:30:00.000 GMT+0100,83.184,83.184,83.090,83.121,2827439.9949
07.07.2021 13:45:00.000 GMT+0100,83.119,83.119,83.013,83.026,2488750.0076999995
07.07.2021 14:00:00.000 GMT+0100,83.025,83.134,83.020,83.094,2931200.0274999994
07.07.2021 14:15:00.000 GMT+0100,83.091,83.154,83.085,83.134,2332939.9946999997
07.07.2021 14:30:00.000 GMT+0100,83.136,83.262,83.092,83.124,4163559.9824000006
07.07.2021 14:45:00.000 GMT+0100,83.125,83.155,83.067,83.100,2933070.0073999995
07.07.2021 15:00:00.000 GMT+0100,83.101,83.109,82.916,82.942,3643200.0122
07.07.2021 15:15:00.000 GMT+0100,82.941,82.959,82.751,82.754,3793010.025199999
07.07.2021 15:30:00.000 GMT+0100,82.754,82.769,82.648,82.707,3869630.0353999995
07.07.2021 15:45:00.000 GMT+0100,82.708,82.750,82.675,82.740,3311929.9621000006
07.07.2021 16:00:00.000 GMT+0100,82.738,82.802,82.716,82.743,2985540.0085
07.07.2021 16:15:00.000 GMT+0100,82.742,82.782,82.713,82.770,2335170.0286
07.07.2021 16:30:00.000 GMT+0100,82.770,82.852,82.757,82.815,2103520.0195
07.07.2021 16:45:00.000 GMT+0100,82.816,82.818,82.749,82.792,1811710.0218
07.07.2021 17:00:00.000 GMT+0100,82.792,82.818,82.764,82.812,1477430.0157
07.07.2021 17:15:00.000 GMT+0100,82.813,82.827,82.786,82.818,1168929.9965
07.07.2021 17:30:00.000 GMT+0100,82.817,82.849,82.806,82.832,1092130.0012
07.07.2021 17:45:00.000 GMT+0100,82.832,82.869,82.826,82.864,1144959.9957
07.07.2021 18:00:00.000 GMT+0100,82.864,82.870,82.825,82.852,1354460.0184000002
07.07.2021 18:15:00.000 GMT+0100,82.853,82.861,82.811,82.833,1184779.9951
07.07.2021 18:30:00.000 GMT+0100,82.833,82.862,82.833,82.839,972790.0007999998
07.07.2021 18:45:00.000 GMT+0100,82.839,82.853,82.818,82.832,872640.0032
07.07.2021 19:00:00.000 GMT+0100,82.834,82.997,82.801,82.920,6430790.069499999
07.07.2021 19:15:00.000 GMT+0100,82.922,82.972,82.895,82.906,3197970.0012
07.07.2021 19:30:00.000 GMT+0100,82.904,82.906,82.854,82.868,1680910.0036000002
07.07.2021 19:45:00.000 GMT+0100,82.868,82.884,82.808,82.812,1494159.9959000002
07.07.2021 20:00:00.000 GMT+0100,82.811,82.823,82.776,82.784,1074629.9934
07.07.2021 20:15:00.000 GMT+0100,82.782,82.787,82.759,82.764,1218100.0060999999
07.07.2021 20:30:00.000 GMT+0100,82.764,82.798,82.755,82.759,1082500.0132
07.07.2021 20:45:00.000 GMT+0100,82.760,82.771,82.709,82.769,1357419.9754
07.07.2021 21:00:00.000 GMT+0100,82.768,82.775,82.748,82.765,741759.9916000001
07.07.2021 21:15:00.000 GMT+0100,82.767,82.791,82.748,82.784,427309.99919999996
07.07.2021 21:30:00.000 GMT+0100,82.784,82.813,82.783,82.792,282040.0004
07.07.2021 21:45:00.000 GMT+0100,82.792,82.792,82.750,82.769,611129.9982
07.07.2021 22:00:00.000 GMT+0100,82.749,82.855,82.749,82.798,580909.9971
07.07.2021 22:15:00.000 GMT+0100,82.796,82.815,82.754,82.765,4222360.010100001
07.07.2021 22:30:00.000 GMT+0100,82.766,82.775,82.755,82.775,460889.99110000004
07.07.2021 22:45:00.000 GMT+0100,82.775,82.820,82.773,82.809,4354330.017
07.07.2021 23:00:00.000 GMT+0100,82.802,82.836,82.787,82.822,438659.99990000005
07.07.2021 23:15:00.000 GMT+0100,82.822,82.860,82.821,82.845,671860.0016999999
07.07.2021 23:30:00.000 GMT+0100,82.846,82.849,82.808,82.821,691490.0055
07.07.2021 23:45:00.000 GMT+0100,82.818,82.822,82.796,82.814,453640.0021
08.07.2021 00:00:00.000 GMT+0100,82.813,82.815,82.786,82.798,494180.0022
08.07.2021 00:15:00.000 GMT+0100,82.800,82.810,82.799,82.803,441500.0009
08.07.2021 00:30:00.000 GMT+0100,82.801,82.808,82.783,82.803,760399.991
08.07.2021 00:45:00.000 GMT+0100,82.806,82.810,82.779,82.790,539859.9946999999
08.07.2021 01:00:00.000 GMT+0100,82.791,82.805,82.667,82.709,1661639.9843000001
08.07.2021 01:15:00.000 GMT+0100,82.710,82.711,82.646,82.650,1983400.0052999998
08.07.2021 01:30:00.000 GMT+0100,82.649,82.651,82.590,82.646,1499249.9960999999
08.07.2021 01:45:00.000 GMT+0100,82.646,82.656,82.537,82.559,1722450.0236
08.07.2021 02:00:00.000 GMT+0100,82.560,82.562,82.472,82.485,1728100.0060999996
08.07.2021 02:15:00.000 GMT+0100,82.485,82.506,82.414,82.486,1632880.0048999998
